name,item_code,item_name,item_group,standard_rate
BV_HC_AMR,BV_HC_AMR,Americano,Hot Coffee,0.0
BV_HC_AMR_1X,BV_HC_AMR_1X,Americano,Hot Coffee,0.0
BV_HC_AMR_2X,BV_HC_AMR_2X,Americano,Hot Coffee,0.0
BV_HC_CAP,BV_HC_CAP,Cappuccino,Hot Coffee,0.0
BV_HC_CAP_1X_CAR_AL,BV_HC_CAP_1X_CAR_AL,Cappuccino,Hot Coffee,0.0
BV_HC_CAP_1X_CAR_LF,BV_HC_CAP_1X_CAR_LF,Cappuccino,Hot Coffee,0.0
BV_HC_CAP_1X_CAR_OA,BV_HC_CAP_1X_CAR_OA,Cappuccino,Hot Coffee,0.0
BV_HC_CAP_1X_CAR_PA,BV_HC_CAP_1X_CAR_PA,Cappuccino,Hot Coffee,0.0
BV_HC_CAP_1X_HZL_AL,BV_HC_CAP_1X_HZL_AL,Cappuccino,Hot Coffee,0.0
BV_HC_CAP_1X_HZL_LF,BV_HC_CAP_1X_HZL_LF,Cappuccino,Hot Coffee,0.0
BV_HC_CAP_1X_HZL_OA,BV_HC_CAP_1X_HZL_OA,Cappuccino,Hot Coffee,0.0
BV_HC_CAP_1X_HZL_PA,BV_HC_CAP_1X_HZL_PA,Cappuccino,Hot Coffee,0.0
BV_HC_CAP_1X_PLN_AL,BV_HC_CAP_1X_PLN_AL,Cappuccino,Hot Coffee,0.0
BV_HC_CAP_1X_PLN_LF,BV_HC_CAP_1X_PLN_LF,Cappuccino,Hot Coffee,0.0
BV_HC_CAP_1X_PLN_OA,BV_HC_CAP_1X_PLN_OA,Cappuccino,Hot Coffee,0.0
BV_HC_CAP_1X_PLN_PA,BV_HC_CAP_1X_PLN_PA,Cappuccino,Hot Coffee,0.0
BV_HC_CAP_1X_PMK_AL,BV_HC_CAP_1X_PMK_AL,Cappuccino,Hot Coffee,0.0
BV_HC_CAP_1X_PMK_LF,BV_HC_CAP_1X_PMK_LF,Cappuccino,Hot Coffee,0.0
BV_HC_CAP_1X_PMK_OA,BV_HC_CAP_1X_PMK_OA,Cappuccino,Hot Coffee,0.0
BV_HC_CAP_1X_PMK_PA,BV_HC_CAP_1X_PMK_PA,Cappuccino,Hot Coffee,0.0
BV_HC_CAP_1X_VAN_AL,BV_HC_CAP_1X_VAN_AL,Cappuccino,Hot Coffee,0.0
BV_HC_CAP_1X_VAN_LF,BV_HC_CAP_1X_VAN_LF,Cappuccino,Hot Coffee,0.0
BV_HC_CAP_1X_VAN_OA,BV_HC_CAP_1X_VAN_OA,Cappuccino,Hot Coffee,0.0
BV_HC_CAP_1X_VAN_PA,BV_HC_CAP_1X_VAN_PA,Cappuccino,Hot Coffee,0.0
BV_HC_CAP_2X_CAR_AL,BV_HC_CAP_2X_CAR_AL,Cappuccino,Hot Coffee,0.0
BV_HC_CAP_2X_CAR_LF,BV_HC_CAP_2X_CAR_LF,Cappuccino,Hot Coffee,0.0
