item_code,item_name,base,shot,syrup,milk,recipe_cost,recommended_price
BV_HC_AMR,Americano,AMR,,,,2.00,6.00
BV_HC_AMR_1X,Americano,AMR,1X,,,10.00,30.00
BV_HC_AMR_2X,Americano,AMR,2X,,,10.00,30.00
BV_HC_CAP,Cappuccino,CAP,,,,3.00,9.00
BV_HC_CAP_1X_CAR_AL,Cappuccino,CAP,1X,CAR,AL,24.00,72.00
BV_HC_CAP_1X_CAR_LF,Cappuccino,CAP,1X,CAR,LF,22.00,66.00
BV_HC_CAP_1X_CAR_OA,Cappuccino,CAP,1X,CAR,OA,25.00,75.00
BV_HC_CAP_1X_CAR_PA,Cappuccino,CAP,1X,CAR,PA,21.00,63.00
BV_HC_CAP_1X_HZL_AL,Cappuccino,CAP,1X,HZL,AL,24.00,72.00
BV_HC_CAP_1X_HZL_LF,Cappuccino,CAP,1X,HZL,LF,22.00,66.00
BV_HC_CAP_1X_HZL_OA,Cappuccino,CAP,1X,HZL,OA,25.00,75.00
BV_HC_CAP_1X_HZL_PA,Cappuccino,CAP,1X,HZL,PA,21.00,63.00
BV_HC_CAP_1X_PLN_AL,Cappuccino,CAP,1X,PLN,AL,20.00,60.00
BV_HC_CAP_1X_PLN_LF,Cappuccino,CAP,1X,PLN,LF,18.00,54.00
BV_HC_CAP_1X_PLN_OA,Cappuccino,CAP,1X,PLN,OA,21.00,63.00
BV_HC_CAP_1X_PLN_PA,Cappuccino,CAP,1X,PLN,PA,17.00,51.00
BV_HC_CAP_1X_PMK_AL,Cappuccino,CAP,1X,PMK,AL,24.00,72.00
BV_HC_CAP_1X_PMK_LF,Cappuccino,CAP,1X,PMK,LF,22.00,66.00
BV_HC_CAP_1X_PMK_OA,Cappuccino,CAP,1X,PMK,OA,25.00,75.00
BV_HC_CAP_1X_PMK_PA,Cappuccino,CAP,1X,PMK,PA,21.00,63.00
BV_HC_CAP_1X_VAN_AL,Cappuccino,CAP,1X,VAN,AL,24.00,72.00
BV_HC_CAP_1X_VAN_LF,Cappuccino,CAP,1X,VAN,LF,22.00,66.00
